date,state,predicted_count,type
2030-12-31,Karnataka,179.46747,forecast
2026-01-31,Madhya Pradesh,219.97548,forecast
2026-02-28,Madhya Pradesh,221.28278,forecast
2026-03-31,Madhya Pradesh,209.84828,forecast
2026-04-30,Madhya Pradesh,221.80849,forecast
2026-05-31,Madhya Pradesh,219.97186,forecast
2026-06-30,Madhya Pradesh,217.58054,forecast
2026-07-31,Madhya Pradesh,221.86113,forecast
2026-08-31,Madhya Pradesh,228.2136,forecast
2026-09-30,Madhya Pradesh,217.81427,forecast
2026-10-31,Madhya Pradesh,225.1831,forecast
2026-11-30,Madhya Pradesh,213.75449,forecast
2026-12-31,Madhya Pradesh,188.24548,forecast
2027-01-31,Madhya Pradesh,223.4321,forecast
2027-02-28,Madhya Pradesh,227.97957,forecast
2027-03-31,Madhya Pradesh,218.9593,forecast
2027-04-30,Madhya Pradesh,224.62474,forecast
2027-05-31,Madhya Pradesh,213.48125,forecast
2027-06-30,Madhya Pradesh,198.43764,forecast
2027-07-31,Madhya Pradesh,225.47899,forecast
2027-08-31,Madhya Pradesh,223.69748,forecast
2027-09-30,Madhya Pradesh,228.59863,forecast
2027-10-31,Madhya Pradesh,214.57303,forecast
2027-11-30,Madhya Pradesh,220.88559,forecast
2027-12-31,Madhya Pradesh,173.86145,forecast
2028-01-31,Madhya Pradesh,232.39738,forecast
2028-02-29,Madhya Pradesh,222.64493,forecast
2028-03-31,Madhya Pradesh,231.05118,forecast
2028-04-30,Madhya Pradesh,209.4724,forecast
2028-05-31,Madhya Pradesh,222.26634,forecast
2028-06-30,Madhya Pradesh,197.46867,forecast
2028-07-31,Madhya Pradesh,225.82764,forecast
2028-08-31,Madhya Pradesh,223.69748,forecast
2028-09-30,Madhya Pradesh,229.41718,forecast
2028-10-31,Madhya Pradesh,209.457,forecast
2028-11-30,Madhya Pradesh,225.78755,forecast
2028-12-31,Madhya Pradesh,168.52682,forecast
2029-01-31,Madhya Pradesh,234.72125,forecast
2029-02-28,Madhya Pradesh,218.05273,forecast
2029-03-31,Madhya Pradesh,234.02325,forecast
2029-04-30,Madhya Pradesh,209.4724,forecast
2029-05-31,Madhya Pradesh,223.08487,forecast
2029-06-30,Madhya Pradesh,201.68242,forecast
2029-07-31,Madhya Pradesh,222.68127,forecast
2029-08-31,Madhya Pradesh,228.2136,forecast
2029-09-30,Madhya Pradesh,224.08253,forecast
2029-10-31,Madhya Pradesh,220.88559,forecast
2029-11-30,Madhya Pradesh,219.90767,forecast
2029-12-31,Madhya Pradesh,179.68155,forecast
2030-01-31,Madhya Pradesh,228.423,forecast
2030-02-28,Madhya Pradesh,222.64493,forecast
2030-03-31,Madhya Pradesh,229.83788,forecast
2030-04-30,Madhya Pradesh,214.1978,forecast
2030-05-31,Madhya Pradesh,222.48042,forecast
2030-06-30,Madhya Pradesh,197.46867,forecast
2030-07-31,Madhya Pradesh,225.47899,forecast
2030-08-31,Madhya Pradesh,223.69748,forecast
2030-09-30,Madhya Pradesh,229.41718,forecast
2030-10-31,Madhya Pradesh,209.457,forecast
2030-11-30,Madhya Pradesh,225.78755,forecast
2030-12-31,Madhya Pradesh,168.52682,forecast
2026-01-31,Maharashtra,529.99347,forecast
2026-02-28,Maharashtra,278.3831,forecast
2026-03-31,Maharashtra,348.38998,forecast
2026-04-30,Maharashtra,345.691,forecast
2026-05-31,Maharashtra,332.37762,forecast
2026-06-30,Maharashtra,336.21555,forecast
2026-07-31,Maharashtra,343.38538,forecast
2026-08-31,Maharashtra,326.18878,forecast
2026-09-30,Maharashtra,342.27548,forecast
2026-10-31,Maharashtra,325.9679,forecast
2026-11-30,Maharashtra,337.5268,forecast
2026-12-31,Maharashtra,311.2097,forecast
2027-01-31,Maharashtra,323.21176,forecast
2027-02-28,Maharashtra,327.53,forecast
2027-03-31,Maharashtra,327.15735,forecast
2027-04-30,Maharashtra,338.84622,forecast
2027-05-31,Maharashtra,346.74054,forecast
2027-06-30,Maharashtra,331.60025,forecast
2027-07-31,Maharashtra,341.84552,forecast
2027-08-31,Maharashtra,345.2428,forecast
2027-09-30,Maharashtra,338.5103,forecast
2027-10-31,Maharashtra,334.0446,forecast
2027-11-30,Maharashtra,333.40723,forecast
2027-12-31,Maharashtra,310.1329,forecast
2028-01-31,Maharashtra,326.23618,forecast
2028-02-29,Maharashtra,324.69656,forecast
2028-03-31,Maharashtra,329.99072,forecast
2028-04-30,Maharashtra,338.84622,forecast
2028-05-31,Maharashtra,346.74054,forecast
2028-06-30,Maharashtra,331.60025,forecast
2028-07-31,Maharashtra,341.84552,forecast
2028-08-31,Maharashtra,345.2428,forecast
2028-09-30,Maharashtra,338.5103,forecast
2028-10-31,Maharashtra,334.0446,forecast
2028-11-30,Maharashtra,333.40723,forecast
2028-12-31,Maharashtra,310.1329,forecast
2029-01-31,Maharashtra,326.23618,forecast
2029-02-28,Maharashtra,324.69656,forecast
2029-03-31,Maharashtra,329.99072,forecast
2029-04-30,Maharashtra,338.84622,forecast
2029-05-31,Maharashtra,346.74054,forecast
2029-06-30,Maharashtra,331.60025,forecast
2029-07-31,Maharashtra,341.84552,forecast
2029-08-31,Maharashtra,345.2428,forecast
2029-09-30,Maharashtra,338.5103,forecast
2029-10-31,Maharashtra,334.0446,forecast
2029-11-30,Maharashtra,333.40723,forecast
2029-12-31,Maharashtra,310.1329,forecast
2030-01-31,Maharashtra,326.23618,forecast
2030-02-28,Maharashtra,324.69656,forecast
2030-03-31,Maharashtra,329.99072,forecast
2030-04-30,Maharashtra,338.84622,forecast
2030-05-31,Maharashtra,346.74054,forecast
2030-06-30,Maharashtra,331.60025,forecast
2030-07-31,Maharashtra,341.84552,forecast
2030-08-31,Maharashtra,345.2428,forecast
2030-09-30,Maharashtra,338.5103,forecast
2030-10-31,Maharashtra,334.0446,forecast
2030-11-30,Maharashtra,333.40723,forecast
2030-12-31,Maharashtra,310.1329,forecast
2026-01-31,Jharkhand,20.80712,forecast
2026-02-28,Jharkhand,18.293169,forecast
2026-03-31,Jharkhand,25.452328,forecast
2026-04-30,Jharkhand,22.69009,forecast
2026-05-31,Jharkhand,21.263044,forecast
2026-06-30,Jharkhand,21.788727,forecast
2026-07-31,Jharkhand,24.30838,forecast
2026-08-31,Jharkhand,26.173439,forecast
2026-09-30,Jharkhand,25.601654,forecast
2026-10-31,Jharkhand,25.965927,forecast
2026-11-30,Jharkhand,26.630928,forecast
2026-12-31,Jharkhand,26.569973,forecast
2027-01-31,Jharkhand,19.927122,forecast
2027-02-28,Jharkhand,17.923714,forecast
2027-03-31,Jharkhand,25.280699,forecast
2027-04-30,Jharkhand,22.593315,forecast
2027-05-31,Jharkhand,21.75338,forecast
2027-06-30,Jharkhand,22.035423,forecast
2027-07-31,Jharkhand,24.814688,forecast
2027-08-31,Jharkhand,26.173439,forecast
2027-09-30,Jharkhand,25.601654,forecast
2027-10-31,Jharkhand,25.965927,forecast
2027-11-30,Jharkhand,26.630928,forecast
2027-12-31,Jharkhand,26.569973,forecast
2028-01-31,Jharkhand,19.927122,forecast
2028-02-29,Jharkhand,17.923714,forecast
2028-03-31,Jharkhand,25.280699,forecast
2028-04-30,Jharkhand,22.593315,forecast
2028-05-31,Jharkhand,21.75338,forecast
2028-06-30,Jharkhand,22.035423,forecast
2028-07-31,Jharkhand,24.814688,forecast
2028-08-31,Jharkhand,26.173439,forecast
2028-09-30,Jharkhand,25.601654,forecast
2028-10-31,Jharkhand,25.965927,forecast
2028-11-30,Jharkhand,26.630928,forecast
2028-12-31,Jharkhand,26.569973,forecast
2029-01-31,Jharkhand,19.927122,forecast
2029-02-28,Jharkhand,17.923714,forecast
2029-03-31,Jharkhand,25.280699,forecast
2029-04-30,Jharkhand,22.593315,forecast
2029-05-31,Jharkhand,21.75338,forecast
2029-06-30,Jharkhand,22.035423,forecast
2029-07-31,Jharkhand,24.814688,forecast
2029-08-31,Jharkhand,26.173439,forecast
2029-09-30,Jharkhand,25.601654,forecast
2029-10-31,Jharkhand,25.965927,forecast
2029-11-30,Jharkhand,26.630928,forecast
2029-12-31,Jharkhand,26.569973,forecast
2030-01-31,Jharkhand,19.927122,forecast
2030-02-28,Jharkhand,17.923714,forecast
2030-03-31,Jharkhand,25.280699,forecast
2030-04-30,Jharkhand,22.593315,forecast
2030-05-31,Jharkhand,21.75338,forecast
2030-06-30,Jharkhand,22.035423,forecast
2030-07-31,Jharkhand,24.814688,forecast
2030-08-31,Jharkhand,26.173439,forecast
2030-09-30,Jharkhand,25.601654,forecast
2030-10-31,Jharkhand,25.965927,forecast
2030-11-30,Jharkhand,26.630928,forecast
2030-12-31,Jharkhand,26.569973,forecast
2026-01-31,Bihar,170.95084,forecast
2026-02-28,Bihar,221.1381,forecast
2026-03-31,Bihar,218.69218,forecast
2026-04-30,Bihar,210.16086,forecast
2026-05-31,Bihar,212.5012,forecast
2026-06-30,Bihar,209.9278,forecast
2026-07-31,Bihar,196.87282,forecast
2026-08-31,Bihar,232.53064,forecast
2026-09-30,Bihar,230.75012,forecast
2026-10-31,Bihar,227.5275,forecast
2026-11-30,Bihar,221.67114,forecast
2026-12-31,Bihar,208.08257,forecast
2027-01-31,Bihar,190.87654,forecast
2027-02-28,Bihar,228.11157,forecast
2027-03-31,Bihar,228.57956,forecast
2027-04-30,Bihar,225.74937,forecast
2027-05-31,Bihar,221.29211,forecast
2027-06-30,Bihar,221.2407,forecast
2027-07-31,Bihar,190.4731,forecast
2027-08-31,Bihar,233.36559,forecast
2027-09-30,Bihar,230.43285,forecast
2027-10-31,Bihar,230.74721,forecast
2027-11-30,Bihar,224.0559,forecast
2027-12-31,Bihar,211.06754,forecast
2028-01-31,Bihar,190.21083,forecast
2028-02-29,Bihar,228.11157,forecast
2028-03-31,Bihar,228.39748,forecast
2028-04-30,Bihar,225.74937,forecast
2028-05-31,Bihar,222.12706,forecast
2028-06-30,Bihar,221.2407,forecast
2028-07-31,Bihar,190.4731,forecast
2028-08-31,Bihar,233.36559,forecast
2028-09-30,Bihar,230.43285,forecast
2028-10-31,Bihar,230.74721,forecast
2028-11-30,Bihar,224.89084,forecast
2028-12-31,Bihar,211.06754,forecast
2029-01-31,Bihar,190.21083,forecast
2029-02-28,Bihar,228.11157,forecast
2029-03-31,Bihar,228.39748,forecast
2029-04-30,Bihar,225.74937,forecast
2029-05-31,Bihar,222.12706,forecast
2029-06-30,Bihar,221.2407,forecast
2029-07-31,Bihar,190.4731,forecast
2029-08-31,Bihar,233.36559,forecast
2029-09-30,Bihar,230.43285,forecast
2029-10-31,Bihar,230.74721,forecast
2029-11-30,Bihar,224.89084,forecast
2029-12-31,Bihar,211.06754,forecast
2030-01-31,Bihar,190.21083,forecast
2030-02-28,Bihar,228.11157,forecast
2030-03-31,Bihar,228.39748,forecast
2030-04-30,Bihar,225.74937,forecast
2030-05-31,Bihar,222.12706,forecast
2030-06-30,Bihar,221.2407,forecast
2030-07-31,Bihar,190.4731,forecast
2030-08-31,Bihar,233.36559,forecast
2030-09-30,Bihar,230.43285,forecast
2030-10-31,Bihar,230.74721,forecast
2030-11-30,Bihar,224.89084,forecast
2030-12-31,Bihar,211.06754,forecast
2026-01-31,Assam,92.23566,forecast
